20:04:33 - Starting servent [3|localhost:1400]
20:04:33 - Pausing for 1000 ms
20:04:34 - Pausing for 59000 ms
20:04:35 - Sending message [ID: 10][SOURCE: 3][3->2][BODY: 9][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=10, 4=0}
20:04:35 - Sending message [ID: 2][SOURCE: 3][3->1][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=2, 4=0}
20:04:35 - Sending message [ID: 24][SOURCE: 3][3->4][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=24, 4=0}
20:04:35 - Sending message [ID: 39][SOURCE: 3][3->2][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=39, 4=0}
20:04:35 - Sending message [ID: 23][SOURCE: 3][3->2][BODY: 8][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=23, 4=0}
20:04:35 - Sending message [ID: 35][SOURCE: 3][3->4][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=35, 4=0}
20:04:35 - Sending message [ID: 36][SOURCE: 3][3->4][BODY: 7][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=36, 4=0}
20:04:35 - Sending message [ID: 12][SOURCE: 3][3->4][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=12, 4=0}
20:04:35 - Sending message [ID: 35][SOURCE: 3][3->1][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=35, 4=0}
20:04:35 - Sending message [ID: 43][SOURCE: 3][3->1][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=43, 4=0}
20:04:35 - Sending message [ID: 29][SOURCE: 3][3->4][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=29, 4=0}
20:04:35 - Sending message [ID: 31][SOURCE: 3][3->2][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=31, 4=0}
20:04:36 - Sending message [ID: 32][SOURCE: 3][3->2][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=32, 4=0}
20:04:36 - Sending message [ID: 4][SOURCE: 3][3->4][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=4, 4=0}
